Donald Trump Claims DC Mayor ‘Wouldn’t Let The DC Police Get Involved’ With May 29 White House Protest,,0
0,Donald Trump Claims DC Mayor ‘Wouldn’t Let The DC Police Get Involved’ With May 29 White House Protest,70.07951
0,"Did Hillary Clinton Say, ‘If I’m Indicted, I’ll Take Half Of DC With Me’?",12.576744
0,Does This Photo Show The Vietnam Veterans Memorial Defaced In Recent DC Protests?,11.322108
0,Does This Video Show Protesters Breaking Into The White House?,10.72388
0,Viral Image Claims To Show All The Lights Out At The White House During George Floyd Protests,10.612448
0,Viral Image Claims To Show Donald Trump Shaking Hands With Osama bin Laden,10.411532
0,Was There A Communications Blackout In DC During George Floyd Protests On June 1?,10.073266
0,"Did Trump Say, ‘Would You Really Want A President Who Was Dumb Enough To Let Himself Get Drafted’?",9.870577
0,"Did Mark Twain Say, ‘If Voting Made A Difference, They Wouldn’t Let Us Do It’?",9.731575
0,Does This Image Show Barack Obama’s Official White House Portrait?,9.693037
0,Does This Video Show Boston Police ‘Planting’ Bricks At George Floyd Protest Locations?,9.234984
0,"Have 13,506 Marines Volunteered For White House Sentry Duty Since Trump’s Inauguration?",9.068114
"Were 2 Hospitals Set On Fire During George Floyd Protests In Columbus, Ohio?",,0
1,"Were 2 Hospitals Set On Fire During George Floyd Protests In Columbus, Ohio?",56.515694
1,Was Riley Hospital For Children In Indianapolis Set On Fire During George Floyd Protests?,28.923668
1,Was There A Communications Blackout In DC During George Floyd Protests On June 1?,19.046022
1,Viral Video Claims To Show SUV Driving Through A Minneapolis Mall During George Floyd Protests,14.298685
1,Viral Image Claims To Show All The Lights Out At The White House During George Floyd Protests,13.504787
1,Does This Photo Show The Lincoln Memorial Defaced And Damaged Following George Floyd Protests?,11.787609
1,Viral Image Claims MSNBC Aired ‘World War Z’ Clip During George Floyd Protest Coverage,10.423468
1,"Did Ohio Gov Mike DeWine Release 4,300 Inmates On May 15?",8.756771
1,Did An Ohio State Football Player Wear An Ankle Monitor During The Fiesta Bowl?,8.225707
1,Viral Video Claims To Show The BronxCare Health System Hospital On Fire,8.005478
1,Does This Video Show Boston Police ‘Planting’ Bricks At George Floyd Protest Locations?,7.7129545
1,Image Claims To Show People Driving A Stolen Children’s Train During Minneapolis Protests,7.478795
Viral Image Claims To Show All The Lights Out At The White House During George Floyd Protests,,0
2,Viral Image Claims To Show All The Lights Out At The White House During George Floyd Protests,46.787926
2,Viral Video Claims To Show SUV Driving Through A Minneapolis Mall During George Floyd Protests,20.491524
2,Viral Image Claims MSNBC Aired ‘World War Z’ Clip During George Floyd Protest Coverage,16.007477
2,Does This Photo Show The Lincoln Memorial Defaced And Damaged Following George Floyd Protests?,15.240913
2,"Were 2 Hospitals Set On Fire During George Floyd Protests In Columbus, Ohio?",15.19175
2,Image Claims To Show Cleaner Praying At Mecca’s Kaaba During The Coronavirus Pandemic,14.943416
2,Was Riley Hospital For Children In Indianapolis Set On Fire During George Floyd Protests?,14.731695
2,Was There A Communications Blackout In DC During George Floyd Protests On June 1?,14.731695
2,Image Claims To Show People Driving A Stolen Children’s Train During Minneapolis Protests,14.247467
2,Viral Image Claims To Show The KKK Marching At The 1924 Democratic National Convention,14.061797
2,Does This Image Show Barack Obama’s Official White House Portrait?,13.835239
2,Does This Video Show Protesters Breaking Into The White House?,13.622305
Does This Photo Show The Lincoln Memorial Defaced And Damaged Following George Floyd Protests?,,0
3,Does This Photo Show The Lincoln Memorial Defaced And Damaged Following George Floyd Protests?,50.721367
3,Does This Photo Show The Vietnam Veterans Memorial Defaced In Recent DC Protests?,25.016623
3,Viral Image Claims To Show All The Lights Out At The White House During George Floyd Protests,13.491782
3,Viral Video Claims To Show SUV Driving Through A Minneapolis Mall During George Floyd Protests,13.034248
3,Does This Video Show Boston Police ‘Planting’ Bricks At George Floyd Protest Locations?,12.892499
3,"Were 2 Hospitals Set On Fire During George Floyd Protests In Columbus, Ohio?",12.155723
3,Was Riley Hospital For Children In Indianapolis Set On Fire During George Floyd Protests?,11.787609
3,Was There A Communications Blackout In DC During George Floyd Protests On June 1?,11.787609
3,Does This Photo Show Soldiers ‘Crying And Visibly Shaken’ Over Trump’s Syrian Withdrawal?,10.224833
3,Does This Photo Show Beto O’Rourke With ‘Vegan’ And ‘Queer’ Painted On His Body?,9.915192
3,Does This Picture Show Greta Thunberg With George Soros?,9.655905
3,Does This Photo Show The Crowd At The ‘Storm Area 51’ Event?,9.640713
Viral Image Claims To Show Recruitment Flyer For ‘Professional Anarchist’ Job Funded By George Soros,,0
4,Viral Image Claims To Show Recruitment Flyer For ‘Professional Anarchist’ Job Funded By George Soros,54.83228
4,Viral Image Claims To Show George Soros In A Nazi Uniform,17.697056
4,Viral Image Claims To Show Phone Number For Receiving Emergency Food Stamps,11.144018
4,Does This Picture Show Greta Thunberg With George Soros?,11.019745
4,Viral Image Claims To Show A Baby Koala Rescued From The Australian Wildfires By A Golden Retriever,10.649251
4,Does This Picture Show Meghan Markle With George Soros’ Son?,10.640038
4,Viral Image Claims To Show All The Lights Out At The White House During George Floyd Protests,10.588642
4,Viral Image Claims To Show WHO Lockdown Guidelines,10.24008
4,Viral Image Claims To Show ‘Wounded Female Veterans’,10.24008
4,Viral Image Claims To Show Article Reporting Teenage Pete Buttigieg Was Arrested For Killing Dogs,10.161346
4,Is Chelsea Clinton Married To The Nephew Of George Soros?,10.085616
4,Viral Image Claims To Show Barack Obama Kissing Hugo Chavez,9.534393
"No, Ellen DeGeneres Isn’t Under House Arrest For Child Sex Trafficking",,0
5,"No, Ellen DeGeneres Isn’t Under House Arrest For Child Sex Trafficking",55.269848
5,"Did Ellen DeGeneres Say, ‘8 Years. No Scandals. We Sure Are Going To Miss The Obamas’?",12.666987
5,Viral Image Falsely Claims Oprah Winfrey Was Arrested And Her Home Raided For Sex Trafficking,12.04315
5,Are Texts From The IRL Social App Linked To Sex Trafficking?,11.349339
5,"Viral Post Claims Ellen DeGeneres Is Giving Away $5,000 To 100 People Who Like And Comment On It",9.421937
5,Did The Italian Parliament Call For The Arrest Of Bill Gates?,8.107814
5,"No, The DHS Isn’t Mobilizing The National Guard To Enforce A National Quarantine",7.9527893
5,Did BART Transit Police Arrest A Man For Eating A Sandwich On The Platform?,7.3712215
5,"Have 13,506 Marines Volunteered For White House Sentry Duty Since Trump’s Inauguration?",6.7064495
5,"Did Ocasio-Cortez Say, ‘Under Capitalism, Man Oppresses Man. Under Socialism, It’s The Other Way Around’?",6.6991196
5,Did Nancy Pelosi Hide $25 Million For Congressional Pay Raises In The House Coronavirus Stimulus Bill?,5.9404707
5,Does This Picture Show Joe Biden Biting A Child On The Cheek?,5.361351
Is Starbucks Offering A Free Frappuccino To Anyone Who Shouts ‘Black Lives Matter’ In One Of Its Stores?,,0
6,Is Starbucks Offering A Free Frappuccino To Anyone Who Shouts ‘Black Lives Matter’ In One Of Its Stores?,66.47894
6,Is McDonald’s Offering 2 Free Big Mac Meals To Everyone Who Shares This Link?,15.723519
6,Viral Image Claims Dollar Tree Is Offering Free Shopping Sprees To 100 Families,13.068244
